1		3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	
				Deklarationen SPS	1114																																								
Version	c	AG	Gewerk	Symbol	Typ	Objekt/Bereich	Kommentar	Zusatzkommentar	dez. Peripherie	Peripherie/Quelle	Konditionierung	Signalart	Priorität	Startwert	Bereich min	Bereich max	Einheit	DB	DBB	DBX	ParseCode	Objekt	Objektdeklaration	Symbolkommentar	Symbol	Datentyp	Gruppe	Adresse	ALG Meldenummer	ALG Variable	ALG BitNr	ALG Meldeklasse	ALG Meldeart	ALG Meldegruppe	ALG Meldetext	ALG Störort	ALG MSR	ALG Zusatztext	ALG Prozesswert	ALG Einzelquit	ALG Group Name	ALG Group VarState	ALG Group VarQuit	ALG Group Dekl	Bemerkung
																																													
1		ZEN	Zulauf	E_Zulauf_AR_P1_Ein	BOOL	Zulauf - Pumpwerk "Alter Rechen" - Pumpe 1	Betrieb			E 0.0		M	B					DB100	0	0		Zulauf_AR_P1	KAO_Zulauf_AR_P1	32800		Vorzeichenloser 8-Bit Wert	ZEN_Meldungen	DB100,DBB0	10000	KAO_ZEN_DB100_DBB0	0	Information	Betrieb	KAO_Zulauf_AR_P1_ALG_GRP	Zulauf - Pumpwerk "Alter Rechen" - Pumpe 1 - Betrieb	Zulauf	Zulauf_AR_P1	E 0.0	32867			KAO_Zulauf_AR_P1_ALG_GRP_S	KAO_Zulauf_AR_P1_ALG_GRP_Q	x	
1		ZEN	Zulauf	E_Zulauf_AR_P1_St	BOOL	Zulauf - Pumpwerk "Alter Rechen" - Pumpe 1	Störung			E 0.1		M	S2					DB100	0	1		Zulauf_AR_P1	KAO_Zulauf_AR_P1	10001						KAO_ZEN_DB100_DBB0	1	Störung	Fehler	KAO_Zulauf_AR_P1_ALG_GRP	Zulauf - Pumpwerk "Alter Rechen" - Pumpe 1 - Störung	Zulauf	Zulauf_AR_P1	E 0.1	32867			KAO_Zulauf_AR_P1_ALG_GRP_S	KAO_Zulauf_AR_P1_ALG_GRP_Q		
1		ZEN	Zulauf	E_Zulauf_AR_SS	BOOL	Zulauf - Pumpwerk "Alter Rechen"	Sammelstörung			E 0.2		M	S2					DB100	0	2		Zulauf_AR	KAO_Zulauf_AR	10002						KAO_ZEN_DB100_DBB0	2	Störung	Fehler	KAO_Zulauf_AR_ALG_GRP	Zulauf - Pumpwerk "Alter Rechen" - Sammelstörung	Zulauf	Zulauf_AR	E 0.2	32871			KAO_Zulauf_AR_ALG_GRP_S	KAO_Zulauf_AR_ALG_GRP_Q	x	
1		ZEN	Zulauf	E_Zulauf_AR_P2_Ein	BOOL	Zulauf - Pumpwerk "Alter Rechen" - Pumpe 2	Betrieb			E 0.3		M	B					DB100	0	3		Zulauf_AR_P2	KAO_Zulauf_AR_P2	10003						KAO_ZEN_DB100_DBB0	3	Information	Betrieb	KAO_Zulauf_AR_P2_ALG_GRP	Zulauf - Pumpwerk "Alter Rechen" - Pumpe 2 - Betrieb	Zulauf	Zulauf_AR_P2	E 0.3	32875			KAO_Zulauf_AR_P2_ALG_GRP_S	KAO_Zulauf_AR_P2_ALG_GRP_Q	x	
1		ZEN	Zulauf	E_Zulauf_AR_P2_St	BOOL	Zulauf - Pumpwerk "Alter Rechen" - Pumpe 2	Störung			E 0.4		M	S2					DB100	0	4		Zulauf_AR_P2	KAO_Zulauf_AR_P2	10004						KAO_ZEN_DB100_DBB0	4	Störung	Fehler	KAO_Zulauf_AR_P2_ALG_GRP	Zulauf - Pumpwerk "Alter Rechen" - Pumpe 2 - Störung	Zulauf	Zulauf_AR_P2	E 0.4	32875			KAO_Zulauf_AR_P2_ALG_GRP_S	KAO_Zulauf_AR_P2_ALG_GRP_Q		
1		ZEN	Zulauf	E_Zulauf_AR_HW	BOOL	Zulauf - Pumpwerk "Alter Rechen"	Hochwasser			E 0.5		M	A					DB100	0	5		Zulauf_AR	KAO_Zulauf_AR	10005						KAO_ZEN_DB100_DBB0	5	Störung	Alarm	KAO_Zulauf_AR_ALG_GRP	Zulauf - Pumpwerk "Alter Rechen" - Hochwasser	Zulauf	Zulauf_AR	E 0.5	1		KAO_Zulauf_AR_ALG_GRP	KAO_Zulauf_AR_ALG_GRP_S	KAO_Zulauf_AR_ALG_GRP_Q		
1		ZEN	Zulauf	E_Zulauf_AR_Niv_St	BOOL	Zulauf - Pumpwerk "Alter Rechen" - Niveau	Störung			E 0.6		M	S2					DB100	0	6		Zulauf_AR_Niv	KAO_Zulauf_AR_Niv	10006						KAO_ZEN_DB100_DBB0	6	Störung	Fehler	KAO_Zulauf_AR_Niv_ALG_GRP	Zulauf - Pumpwerk "Alter Rechen" - Niveau - Störung	Zulauf	Zulauf_AR_Niv	E 0.6	32879			KAO_Zulauf_AR_Niv_ALG_GRP_S	KAO_Zulauf_AR_Niv_ALG_GRP_Q	x	
1		ZEN	Zulauf	E_Zulauf_AR_DF_ZI	BOOL	Zulauf - Pumpwerk "Alter Rechen" - Durchfluss	Impuls			E 0.7		M	B					DB100	0	7	NM	Zulauf_AR_DF	KAO_Zulauf_AR_DF																						
